n = 660

(h, s, v): arrow center misses
==============================
(0.05, 0.65, 0.30): 36
(0.10, 0.55, 0.35): 37
(0.00, 0.70, 0.30): 37
(0.10, 0.50, 0.40): 40
(0.05, 0.55, 0.40): 40
(0.20, 0.50, 0.30): 41
(0.05, 0.70, 0.25): 42
(0.00, 0.55, 0.45): 42
(0.05, 0.50, 0.45): 43
(0.00, 0.65, 0.35): 43
(0.15, 0.50, 0.35): 44
(0.00, 0.60, 0.40): 44
(0.10, 0.65, 0.25): 45
(0.25, 0.45, 0.30): 46
(0.20, 0.55, 0.25): 46
(0.15, 0.60, 0.25): 46
(0.15, 0.55, 0.30): 46
(0.10, 0.60, 0.30): 46
(0.00, 0.80, 0.20): 46
(0.30, 0.45, 0.25): 47
(0.35, 0.45, 0.20): 48
(0.20, 0.45, 0.35): 48
(0.00, 0.85, 0.15): 48
(0.00, 0.75, 0.25): 48
(0.25, 0.50, 0.25): 49
(0.30, 0.50, 0.20): 50
(0.15, 0.65, 0.20): 50
(0.15, 0.45, 0.40): 51
(0.00, 0.50, 0.50): 51
(0.35, 0.40, 0.25): 53
(0.30, 0.40, 0.30): 53
(0.25, 0.60, 0.15): 53
(0.20, 0.60, 0.20): 53
(0.15, 0.70, 0.15): 53
(0.00, 0.90, 0.10): 53
(0.20, 0.35, 0.45): 54
(0.40, 0.45, 0.15): 55
(0.20, 0.40, 0.40): 55
(0.10, 0.80, 0.10): 55
(0.05, 0.75, 0.20): 55
(0.05, 0.45, 0.50): 55
(0.30, 0.55, 0.15): 56
(0.25, 0.55, 0.20): 56
(0.20, 0.65, 0.15): 56
(0.10, 0.85, 0.05): 57
(0.35, 0.35, 0.30): 58
(0.15, 0.75, 0.10): 58
(0.25, 0.65, 0.10): 59
(0.05, 0.90, 0.05): 59
(0.00, 0.95, 0.05): 59
(0.45, 0.40, 0.15): 60
(0.40, 0.50, 0.10): 60
(0.35, 0.50, 0.15): 60
(0.20, 0.80, 0.00): 60
(0.10, 0.45, 0.45): 60
(0.05, 0.80, 0.15): 60
(0.30, 0.65, 0.05): 61
(0.15, 0.40, 0.45): 61
(0.10, 0.70, 0.20): 61
(0.45, 0.35, 0.20): 62
(0.25, 0.35, 0.40): 62
(0.20, 0.75, 0.05): 62
(0.05, 0.95, 0.00): 62
(0.45, 0.50, 0.05): 63
(0.25, 0.70, 0.05): 63
(0.45, 0.30, 0.25): 64
(0.40, 0.35, 0.25): 64
(0.30, 0.30, 0.40): 64
(0.10, 0.75, 0.15): 64
(0.25, 0.40, 0.35): 65
(0.10, 0.40, 0.50): 65
(0.00, 0.45, 0.55): 65
(0.45, 0.45, 0.10): 66
(0.40, 0.40, 0.20): 66
(0.15, 0.80, 0.05): 66
(0.15, 0.85, 0.00): 67
(0.05, 0.40, 0.55): 67
(0.10, 0.90, 0.00): 68
(0.30, 0.70, 0.00): 70
(0.25, 0.30, 0.45): 71
(0.50, 0.40, 0.10): 72
(0.40, 0.60, 0.00): 72
(0.35, 0.65, 0.00): 72
(0.40, 0.55, 0.05): 73
(0.55, 0.20, 0.25): 74
(0.50, 0.35, 0.15): 74
(0.45, 0.55, 0.00): 74
(0.25, 0.75, 0.00): 74
(0.40, 0.30, 0.30): 76
(0.55, 0.25, 0.20): 77
(0.50, 0.30, 0.20): 77
(0.50, 0.45, 0.05): 78
(0.30, 0.25, 0.45): 79
(0.55, 0.30, 0.15): 80
(0.45, 0.25, 0.30): 80
(0.15, 0.35, 0.50): 80
(0.50, 0.50, 0.00): 81
(0.50, 0.25, 0.25): 81
(0.40, 0.25, 0.35): 81
(0.75, 0.15, 0.10): 84
(0.65, 0.20, 0.15): 85
(0.60, 0.25, 0.15): 85
(0.60, 0.20, 0.20): 86
(0.35, 0.25, 0.40): 86
(0.00, 0.40, 0.60): 87
(0.70, 0.15, 0.15): 88
(0.70, 0.10, 0.20): 89
(0.60, 0.15, 0.25): 89
(0.70, 0.25, 0.05): 91
(0.10, 0.35, 0.55): 92
(0.55, 0.40, 0.05): 93
(0.50, 0.20, 0.30): 93
(0.20, 0.30, 0.50): 93
(0.65, 0.25, 0.10): 94
(0.65, 0.15, 0.20): 94
(0.55, 0.15, 0.30): 95
(0.15, 0.30, 0.55): 95
(0.75, 0.20, 0.05): 96
(0.65, 0.30, 0.05): 97
(0.55, 0.45, 0.00): 97
(0.25, 0.25, 0.50): 97
(0.60, 0.40, 0.00): 98
(0.70, 0.05, 0.25): 101
(0.05, 0.35, 0.60): 103
(0.75, 0.25, 0.00): 104
(0.45, 0.20, 0.35): 104
(0.75, 0.05, 0.20): 105
(0.65, 0.10, 0.25): 105
(0.80, 0.15, 0.05): 106
(0.40, 0.20, 0.40): 106
(0.35, 0.20, 0.45): 106
(0.65, 0.35, 0.00): 108
(0.70, 0.30, 0.00): 109
(0.50, 0.15, 0.35): 110
(0.10, 0.30, 0.60): 110
(0.80, 0.20, 0.00): 111
